sourceId	targetId
ACTB	CTSD
SRC	PLCG1
PIK3CB	PLCG1
CH25H	HSD3B7
PIK3CB	PLCE1
ITGB2	TIMP1
LAMP2	CTSB
SRC	ACTB
NCKAP1	ACTB
SOAT1	APOA1
THBS2	THBS1
SERPING1	PLAT
SRC	TLR2
LDLR	LPL
FN1	SERPING1
PLG	CTSD
C1QB	SERPING1
FDPS	SQLE
VAMP5	SNAP23
HMGCS1	MVD
GUSB	IDUA
LAMP2	NAGLU
SRC	PDGFB
LDLR	APOA1
C1QB	C3AR1
PDGFB	PLCG1
SRC	SH3GL1
SRC	CLEC7A
C3AR1	C3
APOE	TIMP1
C1QA	SERPING1
SULF2	NDST1
ACTB	GRB2
SRC	AMPH
ANXA2	CTSB
PLAU	PIK3R1
CTSB	PLG
OSBPL6	GM2A
PLG	C3
CYP7B1	MVK
FYN	SH3GL1
CTSB	CLU
DNM1	GRB2
LDLR	FDPS
RAB3C	VAMP8
GUSB	GNS
CYP7B1	SQLE
EPS15	AMPH
PLAU	CTSB
EPS15	ACTB
SH3GLB1	FYN
CH25H	MVK
PLCD4	FYN
APOE	CD68
FN1	PLG
GRB2	PLCG1
THBS2	TIMP1
CTSD	CTSC
APOE	APOA1
DBI	TLR2
ANXA2	GRB2
PIK3R1	TYROBP
CD14	LGALS3BP
FYN	FCER1G
CTSD	TIMP1
PLCB4	PLCG1
CAPN1	PIK3R1
PLCB1	PIK3CB
C1QA	C3AR1
SOAT1	HMGCS1
FYN	TYROBP
GUSB	HEXB
SRC	CAPN1
FYN	PLCE1
FYN	PIK3R1
GRB2	PLG
LDLR	C1QA
FCGR2B	GPLD1
RGS4	C3AR1
SGPL1	PPAP2B
PLG	APOA1
FCER1G	PIK3R1
CLU	C3
DNM1	FYN
S100A10	ANXA2
ADAM17	SH3D19
IDUA	NAGLU
PLCE1	PLCG1
ITGB2	TYROBP
LPL	PLG
ITGB2	PIK3CB
THBS2	PDGFB
FCER1G	PIK3CB
TYROBP	PLCG1
SRC	FN1
PLG	LRP1
PLG	THBS1
PLCB4	PIK3CB
CH25H	SOAT1
