root	icon	id	name	group	size	type	color	color2	color3	color4	color5	color6	timepoints
false	none	SLCO2B1	SLCO2B1*	"Androgen metabolism"	4	"in RML-BL6 mice"	0	0	0	3	3	3	6
false	none	HSD3B7	HSD3B7*	"Androgen metabolism"	4	"also in RML-Tg4053 mice"	0	0	0	3	3	1	6
false	none	CYP7B1	CYP7B1*	"Androgen metabolism"	4	"in RML-BL6 mice"	0	0	0	0	1	1	6
false	none	NCKAP1	NCKAP1	"Caveolic vesicle"	2	"in RML-BL6 mice"	0	0	0	-1	0	0	6
false	none	EPS15	EPS15	"Caveolic vesicle"	2	"in RML-BL6 mice"	0	0	0	-1	0	0	6
false	none	DNM1	DNM1	"Caveolic vesicle"	2	"in RML-BL6 mice"	0	0	0	0	-1	-1	6
false	none	CYFIP1	CYFIP1	"Caveolic vesicle"	2	"in RML-BL6 mice"	0	0	0	0	1	1	6
false	none	CAV2	CAV2	"Caveolic vesicle"	2	"in RML-BL6 mice"	0	0	0	0	1	1	6
false	none	AMPH	AMPH	"Caveolic vesicle"	2	"in RML-BL6 mice"	0	0	0	-3	0	0	6
false	none	ACTB	ACTB	"Caveolic vesicle"	2	"in RML-BL6 mice"	0	0	0	-1	-1	0	6
false	none	STARD4	STARD4	"Cholesterol homeostasis"	2	"in RML-BL6 mice"	0	0	0	-3	-3	-3	6
false	none	SQLE	SQLE*	"Cholesterol homeostasis"	2	"only in RML-infected mice"	0	0	0	0	-3	-3	6
false	none	SOAT1	SOAT1*	"Cholesterol homeostasis"	4	"also in RML-infected 0-- mice"	0	1	0	3	3	3	6
false	none	SC4MOL	SC4MOL	"Cholesterol homeostasis"	2	"only in RML-infected mice"	0	0	0	-1	-1	-1	6
false	none	OSBPL6	OSBPL6	"Cholesterol homeostasis"	2	"in RML-BL6 mice"	0	0	0	0	-1	-1	6
false	none	MVK	MVK	"Cholesterol homeostasis"	2	"in RML-BL6 mice"	0	0	0	0	0	-3	6
false	none	MVD	MVD	"Cholesterol homeostasis"	2	"also in RML-Tg4053 mice"	0	0	-3	1	-3	-3	6
false	none	IDI1	IDI1	"Cholesterol homeostasis"	2	"only in RML-infected mice"	0	0	0	-1	-1	-3	6
false	none	HMGCS1	HMGCS1	"Cholesterol homeostasis"	2	"only in RML-infected mice"	0	0	0	-1	-1	-1	6
false	none	FDPS	FDPS	"Cholesterol homeostasis"	2	"in RML-BL6 mice"	0	0	0	0	-1	-1	6
false	none	DBI	DBI	"Cholesterol homeostasis"	2	"in RML-BL6 mice"	0	0	0	0	1	1	6
false	none	CYP51	CYP51*	"Cholesterol homeostasis"	2	"only in RML-infected mice"	0	0	0	0	-1	-1	6
false	none	CH25H	CH25H	"Cholesterol homeostasis"	2	"also in RML-infected 0-- mice"	0	0	0	0	3	3	6
false	none	BZRP	BZRP	"Cholesterol homeostasis"	4	"also in RML-infected 0-- mice"	0	0	0	3	3	3	6
false	none	ABCA1_C	ABCA1	"Cholesterol homeostasis"	2	"also in RML-Tg4053 mice"	0	0	0	0	3	3	6
false	none	C4B	C4B	"Complement activation"	4	"also in RML-infected 0-- and RML-Tg4053 mice"	0	3	3	3	3	3	6
false	none	C4A	C4A	"Complement activation"	4	"also in RML-infected 0-- and RML-Tg4053 mice"	0	3	3	3	3	3	6
false	none	C3AR1	C3AR1	"Complement activation"	4	"also in RML-infected 0-- mice"	0	0	1	3	3	3	6
false	none	C3	C3	"Complement activation"	4	"also in RML-infected 0-- mice"	0	0	0	3	3	3	6
false	none	C1QC	C1QC	"Complement activation"	4	"also in RML-infected 0-- and RML-Tg4053 mice"	0	1	3	3	3	3	6
false	none	C1QB	C1QB	"Complement activation"	4	"also in RML-infected 0-- and RML-Tg4053 mice"	0	1	3	3	3	3	6
false	none	C1QA	C1QA	"Complement activation"	4	"also in RML-infected 0-- mice"	0	3	3	3	3	3	6
false	none	TIMP1	TIMP1	ECM	2	"also in RML-infected 0-- mice"	0	0	0	1	3	3	6
false	none	THBS2	THBS2*	ECM	4	"also in RML-infected 0-- mice"	0	0	0	1	3	3	6
false	none	THBS1	THBS1	ECM	2	"in RML-BL6 mice"	0	0	0	0	1	3	6
false	none	SERPINA3N	SERPINA3N	ECM	4	"also in RML-infected 0-- mice"	0	3	3	3	3	3	6
false	none	PDGFB	PDGFB	ECM	2	"in RML-BL6 mice"	0	0	0	1	0	1	6
false	none	ELA1	ELA1*	ECM	4	"also in RML-infected 0-- mice"	0	0	1	3	3	3	6
false	none	CLU	CLU	ECM	4	"also in RML-infected 0-- mice"	0	0	0	1	1	1	6
false	none	SH3GLB1	SH3GLB1	Endocytosis	2	"in RML-BL6 mice"	0	0	0	0	1	1	6
false	none	SH3GL1	SH3GL1	Endocytosis	2	"in RML-BL6 mice"	0	0	0	1	0	0	6
false	none	SH3D19	SH3D19	Endocytosis	2	"in RML-BL6 mice"	0	0	0	0	0	0	6
false	none	PRSS18	PRSS18*	Endocytosis	4	"also in RML-infected 0-- mice"	0	0	0	3	3	3	6
false	none	ADAM9	ADAM9	Endocytosis	2	"in RML-BL6 mice"	0	0	0	0	0	0	6
false	none	ADAM17	ADAM17	Endocytosis	2	"in RML-BL6 mice"	0	0	0	0	0	0	6
false	none	TYROBP	TYROBP	"Fcg receptors"	4	"also in RML-infected 0-- and RML-Tg4053 mice"	0	1	3	3	3	3	6
false	none	TLR2	TLR2	"Fcg receptors"	4	"also in RML-infected 0-- mice"	0	0	3	3	3	3	6
false	none	MSR2	MSR2	"Fcg receptors"	4	"also in RML-infected 0-- mice"	0	0	3	3	3	3	6
false	none	LGALS3BP	LGALS3BP	"Fcg receptors"	4	"also in RML-infected 0-- mice"	0	3	3	3	3	3	6
false	none	FCGR3	FCGR3	"Fcg receptors"	4	"also in RML-infected 0-- mice"	0	0	3	3	3	3	6
false	none	FCGR2B	FCGR2B	"Fcg receptors"	4	"also in RML-infected 0-- mice"	0	3	3	3	3	3	6
false	none	FCER1G	FCER1G	"Fcg receptors"	4	"also in RML-infected 0-- mice"	0	0	3	3	3	3	6
false	none	CLEC7A	CLEC7A	"Fcg receptors"	4	"also in RML-infected 0-- and RML-Tg4053 mice"	0	1	1	3	3	3	6
false	none	CD84	CD84	"Fcg receptors"	4	"also in RML-infected 0-- mice"	0	0	3	3	3	3	6
false	none	CD68	CD68	"Fcg receptors"	4	"also in RML-infected 0-- and RML-Tg4053 mice"	0	0	3	3	3	3	6
false	none	CD300D	CD300D*	"Fcg receptors"	4	"also in RML-infected 0-- mice"	0	0	1	3	3	3	6
false	none	CD14	CD14	"Fcg receptors"	4	"also in RML-infected 0-- mice"	0	0	3	3	3	3	6
false	none	SULF2	SULF2	"GAG metabolism"	2	"only with short incubation times"	0	0	0	1	1	1	6
false	none	RENBP	RENBP*	"GAG metabolism"	4	"also in RML-infected 0-- mice"	0	0	0	3	3	3	6
false	none	NDST1	NDST1	"GAG metabolism"	2	"only with short incubation times"	0	0	0	1	1	1	6
false	none	NAGLU	NAGLU*	"GAG metabolism"	4	"also in RML-infected 0-- mice"	0	0	0	3	3	3	6
false	none	IDUA	IDUA	"GAG metabolism"	2	"in RML-BL6 mice"	0	0	0	3	0	1	6
false	none	HS6ST2	HS6ST2	"GAG metabolism"	2	"in RML-BL6 mice"	0	0	0	-1	-1	-1	6
false	none	HEXB	HEXB	"GAG metabolism"	4	"also in RML-infected 0-- mice"	0	0	1	3	3	3	6
