root	icon	id	name	group	type	color	color2	color3	color4	color5	color6	size					timepoints
false	none	A1	" "	HSC	"Stem Cell"	0	2	2	2	2	3	1					6
false	none	A2	" "	MPP	Progenitor	1	2	2	2	2	4	2					6
false	none	A3	" "	Pro-B	"B cell"	2	2	2	2	2	4	3					6
false	none	A4	" "	"Pre-B I"	"B cell"	2	2	2	7	2	4	4					6
false	none	A5	" "	"Pre-B II"	"B cell"	1	2	2	3	2	3	5					6
false	none	A6	" "	"Pre-B II"	"B cell"	2	2	2	4	2	4	6					6
false	none	A7	" "	"Pre-B II"	"B cell"	7	2	2	0	1	0	7					6
false	none	A8	" "	"Pre-B II"	"B cell"	7	2	2	6	2	6	8					6
false	none	A9	" "	"Pre-B II"	"B cell"	2	2	2	5	2	5	1					6
false	none	A10	" "	NK	"NK cell"	1	2	2	1	2	3	2				1	6
false	none	A11	" "	NK	"NK cell"	2	1	2	2	2	4	3					6
false	none	A12	" "	NK	"NK cell"	1	2	2	2	2	4	4					6
false	none	A13	" "	NK	"NK cell"	2	2	2	2	2	3	5					6
false	none	A14	" "	NK	"NK cell"	2	2	2	2	2	3	6					6
false	none	A15	" "	NK	"NK cell"	1	1	2	2	2	7	7					6
false	none	A16	" "	NK	"NK cell"	1	2	2	2	1	8	8					6
false	none	A17	" "	NK	"NK cell"	2	1	2	1	2	3	1					6
false	none	A18	" "	NK	"NK cell"	2	0	2	2	2	4	2					6
false	none	A19	" "	NK	"NK cell"	1	3	2	2	1	4	3					6
false	none	A20	" "	NK	"NK cell"	2	4	2	2	2	3	4					6
false	none	A21	" "	NK	"NK cell"	2	7	2	2	2	3	5					6
false	none	A22	" "	NK	"NK cell"	1	7	2	2	2	0	6					6
false	none	A23	" "	NK	"NK cell"	2	2	2	2	2	4	7					6
false	none	A24	" "	NKT	"NK cell"	4	2	2	2	2	1	8					6
false	none	A25	" "	NKT	"NK cell"	6	2	2	2	2	2	1					6
false	none	A26	" "	NKT	"NK cell"	6	2	2	2	2	1	2					6
false	none	A27	" "	NKT	"NK cell"	6	2	2	2	2	1	3					6
false	none	A28	" "	NKT	"NK cell"	6	2	2	2	2	2	4					6
false	none	A29	" "	"Memory CD8- T"	"T cell"	4	5	2	2	2	1	5					6
false	none	A30	" "	"Memory CD8- T"	"T cell"	5	5	2	2	2	2	6					6
false	none	A31	" "	"Memory CD8- T"	"T cell"	6	6	2	2	2	1	7					6
false	none	A32	" "	"Memory CD8- T"	"T cell"	6	6	2	2	1	2	8					6
false	none	A33	" "	"Memory CD8- T"	"T cell"	5	5	2	2	2	2	1					6
false	none	A34	" "	"Memory CD8- T"	"T cell"	4	6	2	2	2	2	2					6
false	none	A35	" "	"Memory CD8- T"	"T cell"	6	5	2	2	2	2	3					6
false	none	A36	" "	"Memory CD8- T"	"T cell"	6	6	2	2	2	1	4					6
false	none	A37	" "	"Memory CD8- T"	"T cell"	5	5	2	2	2	1	5					6
false	none	A38	" "	"Memory CD8- T"	"T cell"	6	6	2	2	2	2	6					6
false	none	A39	" "	"Naive CD8- T"	"T cell"	3	4	2	2	2	2	7					6
false	none	A40	" "	"Naive CD8- T"	"T cell"	4	5	2	2	2	2	8					6
false	none	A41	" "	"Naive CD8- T"	"T cell"	5	6	2	2	2	2	1					6
false	none	A42	" "	"Naive CD8- T"	"T cell"	6	4	2	2	2	1	2					6
false	none	A43	" "	"Naive CD8- T"	"T cell"	3	4	1	2	1	1	3					6
false	none	A44	" "	"Naive CD8- T"	"T cell"	4	5	2	2	1	1	4					6
false	none	A45	" "	"Naive CD8- T"	"T cell"	5	5	2	2	2	1	5					6
false	none	A46	" "	"Naive CD8- T"	"T cell"	6	6	2	2	2	2	6					6
false	none	A47	" "	"Naive CD8- T"	"T cell"	3	6	2	7	2	1	7					6
false	none	A48	" "	"Naive CD8- T"	"T cell"	3	5	2	2	2	1	8					6
false	none	A49	" "	"Naive CD8- T"	"T cell"	4	5	1	2	1	7	1					6
false	none	A50	" "	"Naive CD8- T"	"T cell"	4	6	2	2	2	7	2					6
false	none	A51	" "	"Naive CD8- T"	"T cell"	5	6	2	2	2	7	3					6
false	none	A52	" "	"Naive CD8- T"	"T cell"	5	4	2	1	2	8	4					6
false	none	A53	" "	"Naive CD8- T"	"T cell"	6	5	2	2	2	7	5					6
false	none	A54	" "	"Naive CD8- T"	"T cell"	6	6	2	2	2	1	6					6
false	none	A55	" "	"Naive CD8- T"	"T cell"	3	4	1	2	2	1	7					6
false	none	A56	" "	"Naive CD8- T"	"T cell"	4	5	2	2	2	1	8					6
false	none	A57	" "	"Naive CD8- T"	"T cell"	5	6	2	2	1	3	1					6
