root	icon	id	name	group	timepoints
false	none	SLCO2B1	SLCO2B1	"Androgen metabolism"	1
false	none	HSD3B7	HSD3B7	"Androgen metabolism"	1
false	none	CYP7B1	CYP7B1	"Androgen metabolism"	1
false	none	NCKAP1	NCKAP1	"Caveolic vesicle"	1
false	none	EPS15	EPS15	"Caveolic vesicle"	1
false	none	DNM1	DNM1	"Caveolic vesicle"	1
false	none	CYFIP1	CYFIP1	"Caveolic vesicle"	1
false	none	CAV2	CAV2	"Caveolic vesicle"	1
false	none	AMPH	AMPH	"Caveolic vesicle"	1
false	none	ACTB	ACTB	"Caveolic vesicle"	1
false	none	STARD4	STARD4	"Cholesterol homeostasis"	1
false	none	SQLE	SQLE	"Cholesterol homeostasis"	1
false	none	SOAT1	SOAT1	"Cholesterol homeostasis"	1
false	none	SC4MOL	SC4MOL	"Cholesterol homeostasis"	1
false	none	OSBPL6	OSBPL6	"Cholesterol homeostasis"	1
false	none	MVK	MVK	"Cholesterol homeostasis"	1
false	none	MVD	MVD	"Cholesterol homeostasis"	1
false	none	IDI1	IDI1	"Cholesterol homeostasis"	1
false	none	HMGCS1	HMGCS1	"Cholesterol homeostasis"	1
false	none	FDPS	FDPS	"Cholesterol homeostasis"	1
false	none	DBI	DBI	"Cholesterol homeostasis"	1
false	none	CYP51	CYP51	"Cholesterol homeostasis"	1
false	none	CH25H	CH25H	"Cholesterol homeostasis"	1
false	none	BZRP	BZRP	"Cholesterol homeostasis"	1
false	none	ABCA1_C	ABCA1	"Cholesterol homeostasis"	1
false	none	C4B	C4B	"Complement activation"	1
false	none	C4A	C4A	"Complement activation"	1
false	none	C3AR1	C3AR1	"Complement activation"	1
false	none	C3	C3	"Complement activation"	1
false	none	C1QC	C1QC	"Complement activation"	1
false	none	C1QB	C1QB	"Complement activation"	1
false	none	C1QA	C1QA	"Complement activation"	1
false	none	TIMP1	TIMP1	ECM	1
false	none	THBS2	THBS2	ECM	1
false	none	THBS1	THBS1	ECM	1
false	none	SERPINA3N	SERPINA3N	ECM	1
false	none	PDGFB	PDGFB	ECM	1
false	none	ELA1	ELA1	ECM	1
false	none	CLU	CLU	ECM	1
false	none	SH3GLB1	SH3GLB1	Endocytosis	1
false	none	SH3GL1	SH3GL1	Endocytosis	1
false	none	SH3D19	SH3D19	Endocytosis	1
false	none	PRSS18	PRSS18	Endocytosis	1
false	none	ADAM9	ADAM9	Endocytosis	1
false	none	ADAM17	ADAM17	Endocytosis	1
false	none	TYROBP	TYROBP	"Fcg receptors"	1
false	none	TLR2	TLR2	"Fcg receptors"	1
false	none	MSR2	MSR2	"Fcg receptors"	1
false	none	LGALS3BP	LGALS3BP	"Fcg receptors"	1
false	none	FCGR3	FCGR3	"Fcg receptors"	1
false	none	FCGR2B	FCGR2B	"Fcg receptors"	1
false	none	FCER1G	FCER1G	"Fcg receptors"	1
false	none	CLEC7A	CLEC7A	"Fcg receptors"	1
false	none	CD84	CD84	"Fcg receptors"	1
false	none	CD68	CD68	"Fcg receptors"	1
false	none	CD300D	CD300D	"Fcg receptors"	1
false	none	CD14	CD14	"Fcg receptors"	1
false	none	SULF2	SULF2	"GAG metabolism"	1
false	none	RENBP	RENBP	"GAG metabolism"	1
false	none	NDST1	NDST1	"GAG metabolism"	1
false	none	NAGLU	NAGLU	"GAG metabolism"	1
false	none	IDUA	IDUA	"GAG metabolism"	1
false	none	HS6ST2	HS6ST2	"GAG metabolism"	1
