id	type	group
BDNF	H_COMPLEMENT|H_COAGULATION|B_FIBRINOLYSIS|W_Blood_Clotting_Cascade|B_CLASSIC|B_COMP|B_LECTIN|W_Complement_Act.|K_Complement_and_coagulation_cascades|K_Systemic_lupus_erythematosus|R_Terminal_of_complement|B_EXTRINSIC|W_Complement_and_Coagulation_Cascades|R_Extrinsic_Pathway|NABA_ECM_AFFILIATED|NABA_MATRISOME_ASSOCIATED|R_Lectin_of_complement_act.|R_Ficolins_bind_to_repetitive_carbohydrate_structures_on_the_target_cell_surface|NABA_MATRISOME|R_Extracellular_matrix_organization|R_Assembly_of_collagen_fibrils_and_other_multimeric_structures|R_Anchoring_fibril_formation|R_Crosslinking_of_collagen_fibrils|K_Prion_diseases|K_Pertussis|K_Chagas_disease_(American_trypanosomiasis)|K_Amoebiasis|K_Staphylococcus_aureus_infection|R_Immune_System|R_Complement_cascade|R_Alternative_complement_act.|R_Act._of_C3_and_C5|R_Reg._of_Complement_cascade|R_Innate_Immune_System|R_TRAF3-dependent_IRF_act.|R_TRAF6_mediated_IRF7_act.|R_LRR_FLII-interacting_protein_1_(LRRFIP1)_activates_type_I_IFN_production|R_Classical_antibody-mediated_complement_act.	Up
CREB1	H_COMPLEMENT|H_COAGULATION|B_FIBRINOLYSIS|W_Blood_Clotting_Cascade|B_CLASSIC|B_COMP|B_LECTIN|W_Complement_Act.|K_Complement_and_coagulation_cascades|K_Systemic_lupus_erythematosus|R_Terminal_of_complement|B_EXTRINSIC|W_Complement_and_Coagulation_Cascades|R_Extrinsic_Pathway|NABA_ECM_AFFILIATED|NABA_MATRISOME_ASSOCIATED|R_Lectin_of_complement_act.|R_Ficolins_bind_to_repetitive_carbohydrate_structures_on_the_target_cell_surface|NABA_MATRISOME|R_Extracellular_matrix_organization|R_Assembly_of_collagen_fibrils_and_other_multimeric_structures|R_Anchoring_fibril_formation|R_Crosslinking_of_collagen_fibrils|K_Prion_diseases|K_Pertussis|K_Chagas_disease_(American_trypanosomiasis)|K_Amoebiasis|K_Staphylococcus_aureus_infection|R_Immune_System|R_Complement_cascade|R_Alternative_complement_act.|R_Act._of_C3_and_C5|R_Reg._of_Complement_cascade|R_Innate_Immune_System|R_TRAF3-dependent_IRF_act.|R_TRAF6_mediated_IRF7_act.|R_LRR_FLII-interacting_protein_1_(LRRFIP1)_activates_type_I_IFN_production|R_Classical_antibody-mediated_complement_act.	Up
C9	H_COMPLEMENT|H_COAGULATION|B_FIBRINOLYSIS|W_Blood_Clotting_Cascade|B_CLASSIC|B_COMP|B_LECTIN|W_Complement_Act.|K_Complement_and_coagulation_cascades|K_Systemic_lupus_erythematosus|R_Terminal_of_complement|B_EXTRINSIC|W_Complement_and_Coagulation_Cascades|R_Extrinsic_Pathway|NABA_ECM_AFFILIATED|NABA_MATRISOME_ASSOCIATED|R_Lectin_of_complement_act.|R_Ficolins_bind_to_repetitive_carbohydrate_structures_on_the_target_cell_surface|NABA_MATRISOME|R_Extracellular_matrix_organization|R_Assembly_of_collagen_fibrils_and_other_multimeric_structures|R_Anchoring_fibril_formation|R_Crosslinking_of_collagen_fibrils|K_Prion_diseases|K_Pertussis|K_Chagas_disease_(American_trypanosomiasis)|K_Amoebiasis|K_Staphylococcus_aureus_infection|R_Immune_System|R_Complement_cascade|R_Alternative_complement_act.|R_Act._of_C3_and_C5|R_Reg._of_Complement_cascade|R_Innate_Immune_System|R_TRAF3-dependent_IRF_act.|R_TRAF6_mediated_IRF7_act.|R_LRR_FLII-interacting_protein_1_(LRRFIP1)_activates_type_I_IFN_production|R_Classical_antibody-mediated_complement_act.	Up
C6	H_COMPLEMENT|H_COAGULATION|B_FIBRINOLYSIS|W_Blood_Clotting_Cascade|B_CLASSIC|B_COMP|B_LECTIN|W_Complement_Act.|K_Complement_and_coagulation_cascades|K_Systemic_lupus_erythematosus|R_Terminal_of_complement|B_EXTRINSIC|W_Complement_and_Coagulation_Cascades|R_Extrinsic_Pathway|NABA_ECM_AFFILIATED|NABA_MATRISOME_ASSOCIATED|R_Lectin_of_complement_act.|R_Ficolins_bind_to_repetitive_carbohydrate_structures_on_the_target_cell_surface|NABA_MATRISOME|R_Extracellular_matrix_organization|R_Assembly_of_collagen_fibrils_and_other_multimeric_structures|R_Anchoring_fibril_formation|R_Crosslinking_of_collagen_fibrils|K_Prion_diseases|K_Pertussis|K_Chagas_disease_(American_trypanosomiasis)|K_Amoebiasis|K_Staphylococcus_aureus_infection|R_Immune_System|R_Complement_cascade|R_Alternative_complement_act.|R_Act._of_C3_and_C5|R_Reg._of_Complement_cascade|R_Innate_Immune_System|R_TRAF3-dependent_IRF_act.|R_TRAF6_mediated_IRF7_act.|R_LRR_FLII-interacting_protein_1_(LRRFIP1)_activates_type_I_IFN_production|R_Classical_antibody-mediated_complement_act.	Up
C1QA	H_COMPLEMENT|H_COAGULATION|B_FIBRINOLYSIS|W_Blood_Clotting_Cascade|B_CLASSIC|B_COMP|B_LECTIN|W_Complement_Act.|K_Complement_and_coagulation_cascades|K_Systemic_lupus_erythematosus|R_Terminal_of_complement|B_EXTRINSIC|W_Complement_and_Coagulation_Cascades|R_Extrinsic_Pathway|NABA_ECM_AFFILIATED|NABA_MATRISOME_ASSOCIATED|R_Lectin_of_complement_act.|R_Ficolins_bind_to_repetitive_carbohydrate_structures_on_the_target_cell_surface|NABA_MATRISOME|R_Extracellular_matrix_organization|R_Assembly_of_collagen_fibrils_and_other_multimeric_structures|R_Anchoring_fibril_formation|R_Crosslinking_of_collagen_fibrils|K_Prion_diseases|K_Pertussis|K_Chagas_disease_(American_trypanosomiasis)|K_Amoebiasis|K_Staphylococcus_aureus_infection|R_Immune_System|R_Complement_cascade|R_Alternative_complement_act.|R_Act._of_C3_and_C5|R_Reg._of_Complement_cascade|R_Innate_Immune_System|R_TRAF3-dependent_IRF_act.|R_TRAF6_mediated_IRF7_act.|R_LRR_FLII-interacting_protein_1_(LRRFIP1)_activates_type_I_IFN_production|R_Classical_antibody-mediated_complement_act.	Up
C1QB	H_COMPLEMENT|H_COAGULATION|B_FIBRINOLYSIS|W_Blood_Clotting_Cascade|B_CLASSIC|B_COMP|B_LECTIN|W_Complement_Act.|K_Complement_and_coagulation_cascades|K_Systemic_lupus_erythematosus|R_Terminal_of_complement|B_EXTRINSIC|W_Complement_and_Coagulation_Cascades|R_Extrinsic_Pathway|NABA_ECM_AFFILIATED|NABA_MATRISOME_ASSOCIATED|R_Lectin_of_complement_act.|R_Ficolins_bind_to_repetitive_carbohydrate_structures_on_the_target_cell_surface|NABA_MATRISOME|R_Extracellular_matrix_organization|R_Assembly_of_collagen_fibrils_and_other_multimeric_structures|R_Anchoring_fibril_formation|R_Crosslinking_of_collagen_fibrils|K_Prion_diseases|K_Pertussis|K_Chagas_disease_(American_trypanosomiasis)|K_Amoebiasis|K_Staphylococcus_aureus_infection|R_Immune_System|R_Complement_cascade|R_Alternative_complement_act.|R_Act._of_C3_and_C5|R_Reg._of_Complement_cascade|R_Innate_Immune_System|R_TRAF3-dependent_IRF_act.|R_TRAF6_mediated_IRF7_act.|R_LRR_FLII-interacting_protein_1_(LRRFIP1)_activates_type_I_IFN_production|R_Classical_antibody-mediated_complement_act.	Down
C1QC	H_COMPLEMENT|H_COAGULATION|B_FIBRINOLYSIS|W_Blood_Clotting_Cascade|B_CLASSIC|B_COMP|B_LECTIN|W_Complement_Act.|K_Complement_and_coagulation_cascades|K_Systemic_lupus_erythematosus|R_Terminal_of_complement|B_EXTRINSIC|W_Complement_and_Coagulation_Cascades|R_Extrinsic_Pathway|NABA_ECM_AFFILIATED|NABA_MATRISOME_ASSOCIATED|R_Lectin_of_complement_act.|R_Ficolins_bind_to_repetitive_carbohydrate_structures_on_the_target_cell_surface|NABA_MATRISOME|R_Extracellular_matrix_organization|R_Assembly_of_collagen_fibrils_and_other_multimeric_structures|R_Anchoring_fibril_formation|R_Crosslinking_of_collagen_fibrils|K_Prion_diseases|K_Pertussis|K_Chagas_disease_(American_trypanosomiasis)|K_Amoebiasis|K_Staphylococcus_aureus_infection|R_Immune_System|R_Complement_cascade|R_Alternative_complement_act.|R_Act._of_C3_and_C5|R_Reg._of_Complement_cascade|R_Innate_Immune_System|R_TRAF3-dependent_IRF_act.|R_TRAF6_mediated_IRF7_act.|R_LRR_FLII-interacting_protein_1_(LRRFIP1)_activates_type_I_IFN_production|R_Classical_antibody-mediated_complement_act.	Down
C8A	H_COMPLEMENT|H_COAGULATION|B_FIBRINOLYSIS|W_Blood_Clotting_Cascade|B_CLASSIC|B_COMP|B_LECTIN|W_Complement_Act.|K_Complement_and_coagulation_cascades|K_Systemic_lupus_erythematosus|R_Terminal_of_complement|B_EXTRINSIC|W_Complement_and_Coagulation_Cascades|R_Extrinsic_Pathway|NABA_ECM_AFFILIATED|NABA_MATRISOME_ASSOCIATED|R_Lectin_of_complement_act.|R_Ficolins_bind_to_repetitive_carbohydrate_structures_on_the_target_cell_surface|NABA_MATRISOME|R_Extracellular_matrix_organization|R_Assembly_of_collagen_fibrils_and_other_multimeric_structures|R_Anchoring_fibril_formation|R_Crosslinking_of_collagen_fibrils|K_Prion_diseases|K_Pertussis|K_Chagas_disease_(American_trypanosomiasis)|K_Amoebiasis|K_Staphylococcus_aureus_infection|R_Immune_System|R_Complement_cascade|R_Alternative_complement_act.|R_Act._of_C3_and_C5|R_Reg._of_Complement_cascade|R_Innate_Immune_System|R_TRAF3-dependent_IRF_act.|R_TRAF6_mediated_IRF7_act.|R_LRR_FLII-interacting_protein_1_(LRRFIP1)_activates_type_I_IFN_production|R_Classical_antibody-mediated_complement_act.	Down
C1R	H_COMPLEMENT|H_COAGULATION|B_FIBRINOLYSIS|W_Blood_Clotting_Cascade|B_CLASSIC|B_COMP|B_LECTIN|W_Complement_Act.|K_Complement_and_coagulation_cascades|K_Systemic_lupus_erythematosus|R_Terminal_of_complement|B_EXTRINSIC|W_Complement_and_Coagulation_Cascades|R_Extrinsic_Pathway|NABA_ECM_AFFILIATED|NABA_MATRISOME_ASSOCIATED|R_Lectin_of_complement_act.|R_Ficolins_bind_to_repetitive_carbohydrate_structures_on_the_target_cell_surface|NABA_MATRISOME|R_Extracellular_matrix_organization|R_Assembly_of_collagen_fibrils_and_other_multimeric_structures|R_Anchoring_fibril_formation|R_Crosslinking_of_collagen_fibrils|K_Prion_diseases|K_Pertussis|K_Chagas_disease_(American_trypanosomiasis)|K_Amoebiasis|K_Staphylococcus_aureus_infection|R_Immune_System|R_Complement_cascade|R_Alternative_complement_act.|R_Act._of_C3_and_C5|R_Reg._of_Complement_cascade|R_Innate_Immune_System|R_TRAF3-dependent_IRF_act.|R_TRAF6_mediated_IRF7_act.|R_LRR_FLII-interacting_protein_1_(LRRFIP1)_activates_type_I_IFN_production|R_Classical_antibody-mediated_complement_act.	Down
C4B	H_COMPLEMENT|H_COAGULATION|B_FIBRINOLYSIS|W_Blood_Clotting_Cascade|B_CLASSIC|B_COMP|B_LECTIN|W_Complement_Act.|K_Complement_and_coagulation_cascades|K_Systemic_lupus_erythematosus|R_Terminal_of_complement|B_EXTRINSIC|W_Complement_and_Coagulation_Cascades|R_Extrinsic_Pathway|NABA_ECM_AFFILIATED|NABA_MATRISOME_ASSOCIATED|R_Lectin_of_complement_act.|R_Ficolins_bind_to_repetitive_carbohydrate_structures_on_the_target_cell_surface|NABA_MATRISOME|R_Extracellular_matrix_organization|R_Assembly_of_collagen_fibrils_and_other_multimeric_structures|R_Anchoring_fibril_formation|R_Crosslinking_of_collagen_fibrils|K_Prion_diseases|K_Pertussis|K_Chagas_disease_(American_trypanosomiasis)|K_Amoebiasis|K_Staphylococcus_aureus_infection|R_Immune_System|R_Complement_cascade|R_Alternative_complement_act.|R_Act._of_C3_and_C5|R_Reg._of_Complement_cascade|R_Innate_Immune_System|R_TRAF3-dependent_IRF_act.|R_TRAF6_mediated_IRF7_act.|R_LRR_FLII-interacting_protein_1_(LRRFIP1)_activates_type_I_IFN_production|R_Classical_antibody-mediated_complement_act.	Down
