root	icon	id	name	group	type	description	size	timepoints
false	none	Node1	"Adaptive immunity"	C57B6_analy_5d1.5w_moderated_ttest_p_0.05_4324_probes.txt	"Adaptive immunity"	"ptsd -> mouse -> T5R10 -> mRNA_Microarray"	3	1
false	none	Node2	"Alternative splicing"	C57B6_analy_5d24h_moderated_ttest_p_0.05_4089_probes.txt	"Alternative splicing"	"ptsd -> mouse -> T5R1 -> mRNA_Microarray"	5	1
false	none	Node3	"Alternative splicing"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"Alternative splicing"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	4	1
false	none	Node4	Antimicrobial	C57B6_analy_5d1.5w_moderated_ttest_p_0.01_1041_probes.txt	Antimicrobial	"ptsd -> mouse -> T5R10 -> mRNA_Microarray"	3	1
false	none	Node5	Antimicrobial	C57B6_analy_5d1.5w_moderated_ttest_p_0.05_4324_probes.txt	Antimicrobial	"ptsd -> mouse -> T5R10 -> mRNA_Microarray"	2	1
false	none	Node6	Antioxidant	C57B6_analy_5d1.5w_moderated_ttest_p_0.01_1041_probes.txt	Antioxidant	"ptsd -> mouse -> T5R10 -> mRNA_Microarray"	3	1
false	none	Node7	Antioxidant	C57B6_analy_5d1.5w_moderated_ttest_p_0.05_4324_probes.txt	Antioxidant	"ptsd -> mouse -> T5R10 -> mRNA_Microarray"	2	1
false	none	Node8	Apoptosis	C57B6_analy_5d1.5w_moderated_ttest_p_0.01_1041_probes.txt	Apoptosis	"ptsd -> mouse -> T5R10 -> mRNA_Microarray"	5	1
false	none	Node9	Apoptosis	C57B6_analy_5d1.5w_moderated_ttest_p_0.05_4324_probes.txt	Apoptosis	"ptsd -> mouse -> T5R10 -> mRNA_Microarray"	3	1
false	none	Node10	Autophagy	C57B6_analy_5d1.5w_moderated_ttest_p_0.01_1041_probes.txt	Autophagy	"ptsd -> mouse -> T5R10 -> mRNA_Microarray"	3	1
false	none	Node11	Autophagy	C57B6_analy_5d1.5w_moderated_ttest_p_0.05_4324_probes.txt	Autophagy	"ptsd -> mouse -> T5R10 -> mRNA_Microarray"	2	1
false	none	Node12	"calcium-binding region:1; low affinity"	C57B6_analy_5d1.5w_moderated_ttest_p_0.01_1041_probes.txt	"calcium-binding region:1; low affinity"	"ptsd -> mouse -> T5R10 -> mRNA_Microarray"	3	1
false	none	Node13	"calcium-binding region:1; low affinity"	C57B6_analy_5d1.5w_moderated_ttest_p_0.05_4324_probes.txt	"calcium-binding region:1; low affinity"	"ptsd -> mouse -> T5R10 -> mRNA_Microarray"	2	1
false	none	Node14	"calcium-binding region:2; high affinity"	C57B6_analy_5d1.5w_moderated_ttest_p_0.01_1041_probes.txt	"calcium-binding region:2; high affinity"	"ptsd -> mouse -> T5R10 -> mRNA_Microarray"	3	1
false	none	Node15	"calcium-binding region:2; high affinity"	C57B6_analy_5d1.5w_moderated_ttest_p_0.05_4324_probes.txt	"calcium-binding region:2; high affinity"	"ptsd -> mouse -> T5R10 -> mRNA_Microarray"	2	1
false	none	Node16	"Cell membrane"	C57B6_analy_5d1.5w_moderated_ttest_p_0.01_1041_probes.txt	"Cell membrane"	"ptsd -> mouse -> T5R10 -> mRNA_Microarray"	5	1
false	none	Node17	"Cell membrane"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"Cell membrane"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	4	1
