root	icon	id	name	group	type	description	size	color	timepoints
false	none	Node1	Differentiation	"Annotation Cluster 1"	UP_KEYWORDS	"Category: UP_KEYWORDS- Percentage: 6.315789473684211"	2	2	1
false	none	Node2	Spermatogenesis	"Annotation Cluster 1"	UP_KEYWORDS	"Category: UP_KEYWORDS- Percentage: 3.1578947368421053"	1	1	1
false	none	Node3	GO:0007283~spermatogenesis	"Annotation Cluster 1"	GOTERM_BP_DIRECT	"Category: GOTERM_BP_DIRECT- Percentage: 4.2105263157894735"	1	1	1
false	none	Node4	"Developmental protein"	"Annotation Cluster 1"	UP_KEYWORDS	"Category: UP_KEYWORDS- Percentage: 6.315789473684211"	2	2	1
false	none	Node5	"GO:0007275~multicellular organism development"	"Annotation Cluster 1"	GOTERM_BP_DIRECT	"Category: GOTERM_BP_DIRECT- Percentage: 6.315789473684211"	2	2	1
false	none	Node6	Membrane	"Annotation Cluster 2"	UP_KEYWORDS	"Category: UP_KEYWORDS- Percentage: 51.578947368421055"	6	6	1
false	none	Node7	"disulfide bond"	"Annotation Cluster 2"	UP_SEQ_FEATURE	"Category: UP_SEQ_FEATURE- Percentage: 17.894736842105264"	3	3	1
false	none	Node8	"GO:0005886~plasma membrane"	"Annotation Cluster 2"	GOTERM_CC_DIRECT	"Category: GOTERM_CC_DIRECT- Percentage: 32.631578947368425"	4	4	1
false	none	Node9	"topological domain:Cytoplasmic"	"Annotation Cluster 2"	UP_SEQ_FEATURE	"Category: UP_SEQ_FEATURE- Percentage: 18.947368421052634"	3	3	1
false	none	Node10	"GO:0006954~inflammatory response"	"Annotation Cluster 2"	GOTERM_BP_DIRECT	"Category: GOTERM_BP_DIRECT- Percentage: 5.263157894736842"	2	2	1
false	none	Node11	"GO:0030246~carbohydrate binding"	"Annotation Cluster 2"	GOTERM_MF_DIRECT	"Category: GOTERM_MF_DIRECT- Percentage: 4.2105263157894735"	1	1	1
false	none	Node12	"Transmembrane helix"	"Annotation Cluster 2"	UP_KEYWORDS	"Category: UP_KEYWORDS- Percentage: 37.89473684210527"	5	5	1
false	none	Node13	"glycosylation site:N-linked (GlcNAc...)"	"Annotation Cluster 2"	UP_SEQ_FEATURE	"Category: UP_SEQ_FEATURE- Percentage: 20.0"	3	3	1
